"","Row.names","sentences","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","sentence","total_sentiment"
"97","57","Right out of 'The Killers'.""",0,0,0,0,0,0,0,0,0,0,57,0
"98","58","""Please be quiet,"" the woman said.",0,0,0,0,0,1,0,0,0,1,58,2
"99","59","""Hey, you deaf or what?""",0,0,0,0,0,0,0,0,1,0,59,1
"101","60","The man with the pistol walked over to Anders.",0,0,0,0,0,0,0,0,1,0,60,1
"102","61","He poked the weapon into Anders' gut.",0,0,1,0,0,0,0,0,0,0,61,1
"103","62","""You think I'm playing games?'",0,0,0,0,0,0,0,0,0,0,62,0
"104","63","""No,"" Anders said, but the barrel tickled like a stiff finger and he had to fight back the titters.",1,0,0,1,0,0,0,0,2,0,63,4
"105","64","He did this by making himself stare into the man's eyes, which were clearly visible behind the holes in the mask: pale blue, and rawly red-rimmed.",0,0,0,0,0,1,0,0,0,0,64,1
"106","65","The man's left eyelid kept twitching.",0,0,0,0,0,0,0,0,0,0,65,0
"107","66","He breathed out a piercing, ammoniac smell that shocked Anders more than anything that had happened, and he was beginning to                                                                                 2  develop a sense of unease when the man prodded him again with the pistol.",1,1,1,0,0,0,0,0,2,2,66,7
"108","67","""You like me, bright boy?""",0,0,1,0,0,0,0,0,1,0,67,2
"109","68","he said.",0,0,0,0,0,0,0,0,0,0,68,0
"110","69","""You want to suck my dick?""",0,0,0,0,0,0,0,0,1,0,69,1
"112","70","""No,"" Anders said.",0,0,0,0,0,0,0,0,0,0,70,0
"113","71","""Then stop looking at me.""",0,0,0,0,0,0,0,0,0,0,71,0
"114","72","Anders fixed his gaze on the man's shiny wing-top shoes.",0,1,0,0,0,0,0,2,0,1,72,4
"115","73","""Not down there.",0,0,0,0,0,0,0,0,0,0,73,0
"116","74","Up there.""",0,0,0,0,0,0,0,0,0,0,74,0
"117","75","He stuck the pistol under Anders' chin and pushed it upward until Anders was looking at the ceiling.",0,0,0,0,0,0,0,0,1,0,75,1
"118","76","Anders had never paid much attention to that part of the bank, a pompous old building with marble floors and counters and pillars, and gilt scrollwork over the tellers' cages.",0,0,1,0,0,0,0,1,1,2,76,5
"119","77","The domed ceiling had been decorated with mythological figures whose fleshy, toga-draped ugliness Anders had taken in at a glance many years earlier and afterward declined to notice.",0,0,1,1,0,1,0,0,2,0,77,5
"120","78","Now he had no choice but to scrutinize the painter's work.",0,1,0,0,0,0,0,0,1,1,78,3
"121","79","It was even worse than he remembered, and all of it executed with the utmost gravity.",0,0,0,1,0,1,0,0,1,0,79,3
"123","80","The artist had a few tricks up his sleeve and used them again and again - a certain rosy blush on the underside of the clouds, a coy backward glance on the faces of the cupids and fauns.",0,0,0,1,0,0,0,0,2,1,80,4
"124","81","The ceiling was crowded with various dramas, but the one that caught Anders' eye was Zeus and Europa - portrayed, in this rendition, as a bull ogling a cow from behind a haystack.",0,0,0,0,0,0,0,0,0,0,81,0
"125","82","To make the cow sexy, the painter had canted her hips suggestively and given her long, droopy eyelashes through which she gazed back at the bull with sultry welcome.",0,1,0,0,0,0,0,0,0,1,82,2
"126","83","The bull wore a smirk and his eyebrows were arched.",0,0,0,0,0,0,0,0,1,0,83,1
"127","84","If there'd been a bubble coming out of his mouth, it would have said, ""Hubba hubba.""",0,1,0,0,0,0,1,0,0,0,84,2
"128","85","""What's so funny, bright boy?""",0,0,1,0,0,0,0,0,1,0,85,2
"129","86","""Nothing.""",0,0,0,0,0,0,0,0,0,0,86,0
"130","87","""You think I'm comical?",0,0,0,0,0,0,0,0,0,0,87,0
"131","88","You think I'm some kind of clown?""",0,1,0,0,2,0,1,1,0,2,88,7
"132","89","""No.""",0,0,0,0,0,0,0,0,0,0,89,0
"134","90","""You think you can fuck with me?""",0,0,0,0,0,0,0,0,0,0,90,0
"135","91","""No.""",0,0,0,0,0,0,0,0,0,0,91,0
"136","92","3  ""Fuck with me again, you're history.",0,0,0,0,0,0,0,0,0,0,92,0
"137","93","Capiche?""",0,0,0,0,0,0,0,0,0,0,93,0
"138","94","Anders burst our laughing.",0,0,0,0,1,0,0,0,0,1,94,2
"139","95","He covered his mouth with both hands and said, ""I'm sorry, I'm sorry,"" then snorted helplessly through his fingers and said, "" Capiche - oh, God, capiche,"" and at that the man with the pistol raised the pistol and shot Anders right in the head.",1,1,0,2,1,1,2,1,2,1,95,12
"140","96","The bullet smashed Anders' skull and ploughed through his brain and exited behind his right ear, scattering shards of bone into the cerebral cortex, the corpus callosum, back toward the basal ganglia, and down into the thalamus.",0,0,0,0,0,0,0,0,1,1,96,2
"141","97","But before all this occurred, the first appearance of the bullet in the cerebrum set off a crackling chain of ion transports and neurotransmissions.",0,0,0,0,0,0,0,0,0,0,97,0
"142","98","Because of their peculiar origin these traced a peculiar patter, flukishly calling to life a summer afternoon some forty years past, and long since lost to memory.",1,1,0,0,0,1,0,0,2,0,98,5
"143","99","After striking the cranium the bullet was moving at 900 feet per second, a pathetically sluggish, glacial pace compared to the synaptic lighting that flashed around it.",0,0,0,0,0,1,0,0,2,1,99,4
"3","100","Once in the brain, that is, the bullet came under the mediation of brain time, which gave Anders plenty of leisure to contemplate the scene that, in a phrase he would have abhorred, ""passed before his eyes.""",0,2,0,0,1,0,1,1,0,2,100,7
"4","101","It is worth noting what Ambers did not remember, given what he did remember.",0,0,0,0,0,0,0,0,0,1,101,1
"5","102","He did not remember his first lover, Sherry, or what he had most madly loved about her, before it came to irritate him - her unembarrassed carnality, and especially the cordial way she had with his unit, which she called Mr.",0,1,0,0,1,0,0,1,0,1,102,4
"6","103","Mole, as in, ""Uh-oh, looks like Mr.",0,0,0,0,0,0,0,0,0,0,103,0
"7","104","Mole wants to play,"" and ""Let's hide Mr.",0,0,0,1,0,0,0,0,0,0,104,1
"8","105","Mole!""",0,0,0,0,0,0,0,0,0,0,105,0
"9","106","Anders did not remember his wife, whom he had also loved before she exhausted him with her predictability, or his daughter, now a sullen professor of economics at Dartmouth.",1,0,0,0,1,2,0,1,2,2,106,9
"10","107","He did not remember standing just outside his daughter's door as she lectured her bear about his naughtiness and described the truly appalling punishments Paws would receive unless he changed his ways.",1,0,1,2,0,0,0,0,1,1,107,6
"11","108","He did not remember a single line of the hundreds of poems he had committed to memory in his youth so that he could give himself the shivers at will - not ""Silent, upon a peak in Darien,"" or ""My God, I heard this day,"" or ""All my pretty ones?",1,3,0,2,3,0,1,3,0,4,108,17
"12","109","Did you say all?",0,0,0,0,0,0,0,0,0,0,109,0
"14","110","0 hell-kite!",1,0,2,1,0,1,0,0,2,0,110,7
"15","111","All?""",0,0,0,0,0,0,0,0,0,0,111,0
"16","112","None of these did he remember; not one.",0,0,0,0,0,0,0,0,0,0,112,0
"17","113","Anders did not remember his dying mother saying of his father, ""I should have stabbed him in his sleep.""",1,1,1,1,1,2,0,2,2,1,113,12
"18","114","He did not remember Professor Josephs telling his class how Athenian prisoners in Sicily had been released if they could recite Aeschylus, and then reciting Aeschylus himself, right there, in the Greek.",0,0,0,0,0,0,0,1,0,1,114,2
"19","115","Anders did not remember how his eyes had burned at those sounds.",0,0,0,0,0,0,0,0,0,0,115,0
"20","116","He did not remember the surprise of seeing a college classmate's                                                                                  4  name on the jacket of a novel not long after they graduated, or the respect he had felt after reading the book.",0,2,0,1,2,0,1,1,0,3,116,10
"21","117","He did not remember the pleasure of giving respect.",0,1,0,0,1,0,0,1,0,2,117,5
"22","118","Nor did Anders remember seeing a woman leap to her death from the building opposite his own just days after his daughter was born.",1,1,1,1,1,1,1,0,1,2,118,10
"23","119","He did not remember shouting, ""Lord have mercy!""",0,0,1,0,0,0,0,1,1,2,119,5
"25","120","He did not remember deliberately crashing his father's car in to a tree, of having his ribs kicked in by three policemen at an anti-war rally, or waking himself up with laughter.",1,2,1,1,2,0,2,1,1,2,120,13
"26","121","He did not remember when he began to regard the heap of books on his desk with boredom and dread, or when he grew angry at writers for writing them.",1,1,1,1,0,1,0,0,3,0,121,8
"27","122","He did not remember when everything began to remind him of something else.",0,0,0,0,0,0,0,0,0,0,122,0
"28","123","This is what he remembered.",0,0,0,0,0,0,0,0,0,0,123,0
"29","124","Heat.",0,0,0,0,0,0,0,0,0,0,124,0
"30","125","A baseball field.",0,0,0,0,0,0,0,0,0,0,125,0
"31","126","Yellow grass, the whirr of insects, himself leaning against a tree as the boys of the neighborhood gather for a pickup game.",1,2,1,0,1,0,1,2,0,1,126,9
"32","127","He looks on as the others argue the relative genius of Mantle and Mays.",1,0,0,0,0,0,0,1,1,1,127,4
"33","128","They have been worrying this subject all summer, and it has become tedious to Anders: an oppression, like the heat.",1,1,1,2,0,2,0,0,4,0,128,11
"34","129","Then the last two boys arrive, Coyle and a cousin of his from Mississippi.",0,1,0,0,0,0,0,0,0,0,129,1
"36","130","Anders has never met Coyle's cousin before and will never see him again.",0,0,0,0,0,0,0,0,0,0,130,0
"37","131","He says hi with the rest but takes no further notice of him until they've chosen sides and someone asks the cousin what position he wants to play.",0,0,0,0,0,0,0,0,0,2,131,2
"38","132","""Shortstop,"" the boy says.",0,0,1,0,0,0,0,0,1,0,132,2
"39","133","""Short's the best position they is.""",0,0,0,0,0,0,0,0,0,0,133,0
"40","134","Anders turns and looks at him.",0,0,0,0,0,0,0,0,0,0,134,0
"41","135","He wants to hear Coyle's cousin repeat what he's just said, but he knows better than to ask.",0,0,0,0,0,0,0,0,0,0,135,0
"42","136","The others will think he's being a jerk, ragging the kid for his grammar.",1,0,0,0,0,0,1,1,0,0,136,3
"43","137","But that isn't it, not at all - it's that Anders is strangely roused, elated, by those final two words, their pure unexpectedness and their music.",1,0,0,0,2,1,0,0,1,2,137,7
"44","138","He takes the field in a trance, repeating them to himself.",0,0,0,0,0,0,0,0,1,0,138,1
"45","139","The bullet is already in the brain; it won't be outrun forever, or charmed to a halt.",0,0,0,0,1,0,0,0,1,1,139,3
"47","140","In the end it will do its work and leave the troubled skull behind, dragging its comet's tail of memory and hope and talent and love into the marble hall of commerce.",0,1,0,0,2,1,2,2,1,3,140,12
"48","141","That can't be helped.",0,0,0,0,0,0,0,0,0,0,141,0
"49","142","But for now Anders can still make time.",0,1,0,0,0,0,0,0,0,0,142,1
"50","143","Time for the shadows to lengthen on the grass, time for the tethered dog to bark at the flying ball, time for the boy in right field to smack his sweat-blackened mitt and softly chant, They is, they is, they is.",3,2,1,2,1,0,1,0,3,2,143,15
